MatchID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AT_match_played,AT_goal_against,HT_goal_against,HT_goal_differnece,AT_current_standing,HT_match_played,AT_goal_differnece,AT_goal_for,HT_current_standing,HT_goal_for
253,10/02/96,Nott'm Forest,Arsenal,0,1,A,25,25,34,1,38,25,8,33,40,35
254,10/02/96,Sheffield Weds,Wimbledon,2,1,H,25,50,38,-5,24,24,-15,35,26,33
255,11/02/96,QPR,Liverpool,1,2,A,25,21,38,-20,46,25,27,48,18,18
256,12/02/96,Tottenham,West Ham,0,1,A,24,35,24,9,29,25,-9,26,42,33
257,17/02/96,Chelsea,West Ham,1,2,A,25,35,26,4,32,26,-8,27,39,30
258,17/02/96,Middlesbrough,Bolton,1,4,A,26,51,33,-6,13,26,-27,24,33,27
259,17/02/96,Sheffield Weds,QPR,1,3,A,26,40,39,-4,18,25,-21,19,29,35
260,21/02/96,Man United,Everton,2,0,H,26,28,29,18,40,26,11,39,51,47
261,21/02/96,West Ham,Newcastle,2,0,H,25,20,36,-7,60,26,29,49,35,29
262,24/02/96,Blackburn,Liverpool,2,3,A,26,22,28,12,49,26,28,50,41,40
263,24/02/96,Coventry,Middlesbrough,0,0,D,27,37,49,-16,33,26,-9,28,24,33
264,24/02/96,Everton,Nott'm Forest,3,0,H,26,35,30,9,40,27,0,35,40,39
265,24/02/96,Man City,Newcastle,3,3,D,26,22,36,-20,60,26,27,49,24,16
266,24/02/96,Southampton,Chelsea,2,3,A,27,28,36,-11,39,25,3,31,25,25
267,24/02/96,Tottenham,Sheffield Weds,1,0,H,26,42,25,8,29,26,-6,36,42,33
268,24/02/96,West Ham,Arsenal,0,1,A,26,25,36,-5,41,27,9,34,38,31
269,24/02/96,Wimbledon,Aston Villa,3,3,D,25,18,52,-16,45,26,16,34,24,36
270,25/02/96,Bolton,Man United,0,6,A,27,29,52,-24,54,27,20,49,16,28
271,28/02/96,Aston Villa,Blackburn,2,0,H,27,31,21,16,41,26,11,42,46,37
272,02/03/96,Coventry,West Ham,2,2,D,28,37,49,-16,38,27,-6,31,25,33
273,02/03/96,Leeds,Bolton,0,1,A,28,58,37,-6,16,25,-30,28,35,31
274,02/03/96,Man City,Blackburn,1,1,D,28,33,39,-20,41,27,9,42,25,19
275,02/03/96,Middlesbrough,Everton,0,2,A,28,30,37,-9,43,28,12,42,34,28
276,02/03/96,QPR,Arsenal,1,1,D,27,25,41,-19,44,27,10,35,21,22
277,02/03/96,Sheffield Weds,Nott'm Forest,1,3,A,27,38,43,-7,40,27,-3,35,29,36
278,02/03/96,Tottenham,Southampton,1,0,H,26,39,25,9,25,27,-12,27,45,34
279,02/03/96,Wimbledon,Chelsea,1,1,D,28,30,55,-16,42,27,4,34,25,39
